date,value
2022-08-19,100008796.80206576
2022-08-22,100008865.40462357
2022-08-23,100009007.05005261
2022-08-24,100009200.51852345
2022-08-25,100009104.7726398
2022-08-26,100009349.56719176
2022-08-29,100009355.98322782
2022-08-30,100010194.50592753
2022-09-01,100011631.6936307
2022-09-02,100011631.6936307
2022-09-05,100011584.3162759
2022-09-06,100011682.52960081
2022-09-07,100011608.99286702
2022-09-08,100011532.00175118
2022-09-09,100011813.31748316
2022-09-12,100011813.31748316
2022-09-13,100011813.31748316
2022-09-14,100011813.31748316
2022-09-15,100011828.61829579
2022-09-16,100011717.57083003
2022-09-19,100011700.78995393
2022-09-20,100013388.69426551
2022-09-21,100012514.14233811
2022-09-22,100012498.84242725
2022-09-23,100012240.72203512
2022-09-26,100012190.38052884
2022-09-27,100012190.38052884
2022-09-28,100012190.38052884
2022-09-29,100012199.26427802
2022-09-30,100012428.75989926
