date,value
2023-03-28,100481161.08486904
2023-03-29,100618339.14018427
2023-03-31,100612209.30865774
2023-04-03,100635368.592447
2023-04-05,100651472.22114658
2023-04-06,100678542.54540415
2023-04-10,100706330.84824562
2023-04-11,100772331.21074194
2023-04-12,100793734.82968853
2023-04-13,100879121.39615703
2023-04-17,100900159.83124821
2023-04-18,100822226.00200704
2023-04-19,100901988.37335671
2023-04-20,100768031.77496327
2023-04-21,100656615.8090185
2023-04-24,100684871.67005295
2023-04-25,100715935.28886776
2023-04-26,100760950.07448965
2023-04-27,100783452.80590205
2023-04-28,100802269.43396454
2023-05-02,100865825.2925885
2023-05-03,100863520.19015466
2023-05-04,100901822.48674262
2023-05-05,101051982.61668135
2023-05-08,101100738.88902153
2023-05-09,101101222.09596542
2023-05-10,101137849.18297008
2023-05-11,101133721.50311702
2023-05-12,101125916.52496113
2023-05-15,101116036.14984006
2023-05-16,101148217.93174097
2023-05-17,101174705.46496123
2023-05-18,101136252.24266721
2023-05-19,101135022.40034577
2023-05-22,101131807.96250035
2023-05-23,101206254.84691514
2023-05-24,101246311.21675377
2023-05-25,101281166.95496343
2023-05-26,101315699.72161458
2023-05-29,101338359.77095006
2023-05-30,101279527.01603475
2023-05-31,101349078.64215422
2023-06-01,101242650.85271135
2023-06-02,101358739.95897338
2023-06-05,101320950.00235783
2023-06-06,101451080.52590427
2023-06-07,101505330.40393218
2023-06-08,101430125.95833972
2023-06-09,101464670.64361866
2023-06-12,101477324.04696509
2023-06-13,101500333.6618964
2023-06-14,101499417.8795944
2023-06-15,101453062.43951404
2023-06-16,101524490.24017565
2023-06-19,101471183.43555321
2023-06-20,101492190.21741758
2023-06-21,101517805.3488476
2023-06-22,101428425.62506294
2023-06-23,101338272.58666527
2023-06-26,101298692.8337014
2023-06-27,101349057.12929633
2023-06-28,101443419.12052283
2023-06-30,101427221.3619695
2023-07-03,101400393.21515429
2023-07-04,101346621.27264416
2023-07-05,101405810.35543059
2023-07-06,101385962.14973773
2023-07-07,101413922.87293898
2023-07-10,101366427.4045825
2023-07-11,101491913.70297141
2023-07-12,101476017.04904926
2023-07-13,101442583.8167835
2023-07-14,101521578.68137059
2023-07-17,101492142.70052272
2023-07-18,101504212.5435218
2023-07-19,101458553.06423719
2023-07-20,101500669.32374234
2023-07-21,101492269.66699842
2023-07-24,101355101.82663481
2023-07-25,101649456.7629221
2023-07-26,101603543.53090985
2023-07-27,101541001.2650316
2023-07-28,101548949.56432274
2023-07-31,101621889.57357799
2023-08-01,101594686.55441464
2023-08-02,101633744.14522803
2023-08-03,101569334.78321052
2023-08-04,101551956.78378873
2023-08-07,101479424.41139358
2023-08-08,101445057.79637524
2023-08-09,101478309.86718035
2023-08-10,101516186.4272381
2023-08-11,101516354.91096386
2023-08-14,101497616.35352585
2023-08-16,101477139.61817943
2023-08-17,101464724.75559783
2023-08-18,101483726.17613295
2023-08-21,101516219.46251567
2023-08-22,101532476.76795445
2023-08-23,101539428.55493392
2023-08-24,101568570.75920573
2023-08-25,101475917.49592565
2023-08-28,101515011.02557431
2023-08-29,101642402.79401222
2023-08-30,101784836.59229298
2023-08-31,101802617.13399535
2023-09-01,101942657.12368439
2023-09-04,101937483.40094902
2023-09-05,101958252.0628917
2023-09-06,102041401.28112201
2023-09-07,102048598.58160004
2023-09-08,102051667.8953019
2023-09-11,102086693.56787479
2023-09-12,102014674.88880822
2023-09-13,101942418.16072989
2023-09-14,101982403.73846623
2023-09-15,102145787.91641405
2023-09-18,102242747.269285
2023-09-20,102184419.56457072
2023-09-21,102128728.96920334
2023-09-22,102108359.30787693
2023-09-25,102199354.42280778
2023-09-26,102265093.14491603
2023-09-27,102253347.31086627
2023-09-28,102234822.79111831
2023-09-29,102225672.92540018
